url,doc_id,title,audience,department,category,language,document_version,license_or_permission
https://ts.hust.edu.vn/b/hoc-bong,hust-admissions-scholarships,Thông tin học bổng tuyển sinh - Đại học Bách khoa Hà Nội,student,financial-aid,scholarships,vi,not-stated,public-source
https://www.haui.edu.vn/vn/hoc-bong-hoc-phi/ho-tro-tai-chinh-va-hoc-bong-danh-cho-sinh-vien-haui/68191,haui-financial-aid-scholarships,Học bổng và hỗ trợ tài chính cho sinh viên - Đại học Công nghiệp Hà Nội,student,financial-aid,scholarships,vi,2026,public-source
https://cmcu.edu.vn/chinh-sach-hoc-bong/,cmcu-scholarship-policy,Chính sách học bổng - Đại học CMC,student,financial-aid,scholarships,vi,not-stated,public-source
https://www.lstf.org.vn/vi/linh-vuc/giao-duc/hoc-bong-dinh-thien-ly/,lstf-dinh-thien-ly-scholarship,Học bổng Đinh Thiện Lý - Quỹ Hỗ trợ Cộng đồng Lawrence S. Ting,student,financial-aid,scholarships,vi,not-stated,public-source
https://viasm.edu.vn/hoat-dong-khoa-hoc/tin-tuc/chi-tiet/hoc-bong-sigma-gold-nam-hoc-2026-2027-cho-sinh-vien-nganh-toan,viasm-sigma-gold-scholarship,Học bổng Sigma Gold năm học 2026-2027 cho sinh viên ngành Toán - VIASM,student,financial-aid,scholarships,vi,2026-2027,public-source
https://tuyensinh.huce.edu.vn/hoc-bong-du-hoc,huce-study-abroad-scholarships,Học bổng khuyến khích và học bổng du học cho sinh viên - Đại học Xây dựng Hà Nội,student,financial-aid,scholarships,vi,2026,public-source
https://tuyensinh.huce.edu.vn/hoc-bong-du-hoc,huce-scholarships-faculty,Học bổng nghiên cứu và trao đổi học thuật cho giảng viên - Đại học Xây dựng Hà Nội,faculty,international-relations,scholarships,vi,2026,public-source
https://tuyensinh.huce.edu.vn/hoc-bong-du-hoc,huce-scholarships-staff,Chương trình học bổng phát triển nguồn nhân lực cho cán bộ nhân viên - Đại học Xây dựng Hà Nội,staff,international-relations,scholarships,vi,2026,public-source
https://iuoss.com/chuong-trinh-hoc-bong-jensen-huang-nam-2025/,iuoss-jensen-huang-scholarship,Chương trình học bổng Jensen Huang năm 2025,student,financial-aid,scholarships,vi,2025,public-source
https://daihoc.fpt.edu.vn/hoc-bong/,fpt-scholarships,Học bổng và hỗ trợ tài chính cho sinh viên - Đại học FPT,student,financial-aid,scholarships,vi,not-stated,public-source
https://vnua.edu.vn/thong-bao/xet-hoc-bong-tan-sinh-vien-k71-58369,vnua-k71-freshman-scholarship,Xét học bổng tân sinh viên K71 - Học viện Nông nghiệp Việt Nam,student,financial-aid,scholarships,vi,K71,public-source
https://usth.edu.vn/thong-bao-trien-khai-chuong-trinh-hoc-bong-vallet-nam-2026-danh-cho-sinh-vien-khu-vuc-mien-bac-31432/,usth-scholarship,Triển Khai Chương Trình Học Bổng Vallet Năm 2026 Dành Cho Sinh Viên Khu Vực Miền Bắc,student,financial-aid,scholarships,vi,2026,public-source
